Periode,Anciennete,Montant_Mensuel,Support_Appels,Contrat,Churn
9,3,88.1,1.0,1 an,0
22,71,105.79,3.0,Mensuel,0
12,8,65.1,1.0,Mensuel,1
17,70,73.66,1.0,1 an,0
11,3,94.09,1.0,1 an,0
7,37,78.85,,1 an,0
19,30,76.72,3.0,2 ans,0
24,41,44.61,3.0,Mensuel,1
7,31,47.01,0.0,Mensuel,1
19,64,60.22,2.0,1 an,0
7,2,,1.0,2 ans,0
18,70,66.3,3.0,Mensuel,1
19,49,21.86,1.0,Mensuel,0
11,56,79.83,1.0,Mensuel,0
18,10,97.08,2.0,1 an,0
7,5,78.2,2.0,Mensuel,1
2,29,89.74,2.0,1 an,0
3,23,20.18,2.0,2 ans,0
11,56,27.07,0.0,Mensuel,1
22,64,98.05,1.0,Mensuel,0
4,31,101.6,,1 an,0
11,55,95.76,2.0,1 an,0
17,5,92.3,0.0,Mensuel,1
5,53,92.32,,Mensuel,0
18,8,100.9,3.0,Mensuel,1
8,48,95.25,2.0,1 an,0
20,28,101.55,2.0,1 an,0
14,30,28.95,1.0,Mensuel,1
14,20,,0.0,Mensuel,0
5,29,57.09,2.0,2 ans,0
12,63,76.24,1.0,Mensuel,0
21,58,,2.0,Mensuel,1
1,25,53.47,1.0,1 an,0
19,21,,1.0,Mensuel,0
12,37,,,Mensuel,0
18,49,48.25,2.0,Mensuel,0
16,13,,1.0,Mensuel,1
11,52,39.35,1.0,1 an,0
8,68,,2.0,1 an,0
16,60,64.03,,Mensuel,1
4,39,50.6,1.0,Mensuel,1
15,23,21.57,2.0,2 ans,0
3,23,,3.0,Mensuel,1
16,53,57.27,1.0,1 an,0
16,33,,2.0,Mensuel,0
3,8,99.41,1.0,2 ans,0
19,49,26.67,,Mensuel,1
10,10,61.2,2.0,Mensuel,1
19,71,25.61,1.0,Mensuel,1
1,30,113.06,4.0,Mensuel,1
5,25,100.74,1.0,Mensuel,1
12,4,123.87,0.0,1 an,0
5,12,112.95,1.0,2 ans,0
8,68,53.15,0.0,Mensuel,1
16,39,94.97,1.0,2 ans,0
4,65,51.32,2.0,2 ans,0
17,68,116.39,0.0,2 ans,0
3,4,61.61,3.0,1 an,1
5,28,58.59,0.0,1 an,0
15,60,118.19,1.0,Mensuel,0
20,36,112.24,6.0,1 an,0
5,37,118.67,0.0,2 ans,0
8,41,27.46,,Mensuel,0
23,50,48.57,,Mensuel,1
24,67,55.09,,Mensuel,0
14,63,65.96,0.0,2 ans,0
11,45,,1.0,Mensuel,1
9,41,50.86,3.0,1 an,0
15,26,105.07,0.0,1 an,0
15,9,44.9,1.0,2 ans,0
8,51,92.38,2.0,Mensuel,1
1,1,105.18,0.0,2 ans,0
4,50,81.42,1.0,2 ans,0
24,36,60.96,1.0,Mensuel,1
11,56,40.48,4.0,1 an,0
12,68,,1.0,Mensuel,0
12,40,,4.0,1 an,0
19,41,72.15,0.0,Mensuel,1
2,35,24.74,2.0,Mensuel,0
2,27,118.9,0.0,Mensuel,0
7,7,89.4,2.0,Mensuel,0
12,3,109.41,2.0,Mensuel,0
17,52,68.26,0.0,1 an,0
12,65,121.07,4.0,Mensuel,1
11,4,41.69,,Mensuel,1
23,24,42.2,4.0,1 an,1
4,44,110.46,1.0,1 an,0
14,51,115.34,3.0,Mensuel,0
14,53,73.85,1.0,2 ans,0
12,50,34.14,2.0,Mensuel,0
20,6,54.7,2.0,1 an,0
7,19,,0.0,Mensuel,1
23,34,114.6,3.0,1 an,0
8,5,56.43,0.0,2 ans,0
14,25,27.6,3.0,2 ans,0
13,28,91.09,1.0,1 an,0
21,70,102.12,0.0,Mensuel,0
11,23,65.11,,Mensuel,1
7,69,80.35,2.0,1 an,0
1,50,118.74,1.0,2 ans,0
9,50,46.05,1.0,2 ans,0
20,59,,4.0,Mensuel,1
1,60,81.1,1.0,Mensuel,1
22,16,81.75,2.0,Mensuel,1
14,30,,3.0,Mensuel,1
4,38,81.55,2.0,Mensuel,0
8,70,72.94,,Mensuel,0
14,3,34.13,2.0,1 an,0
8,34,93.07,4.0,Mensuel,1
3,16,33.5,,Mensuel,0
16,15,,0.0,Mensuel,1
17,55,73.64,,2 ans,0
3,15,,3.0,1 an,0
7,57,123.03,,Mensuel,1
6,71,93.22,0.0,Mensuel,0
16,56,111.7,1.0,Mensuel,1
18,13,58.68,3.0,Mensuel,0
18,11,76.13,2.0,Mensuel,0
23,32,128.66,0.0,Mensuel,1
19,40,,3.0,2 ans,0
8,56,103.79,1.0,Mensuel,1
3,31,73.23,1.0,1 an,0
15,12,,2.0,Mensuel,0
22,71,85.17,4.0,2 ans,0
24,65,45.99,1.0,2 ans,1
6,47,20.74,4.0,1 an,0
6,50,44.54,1.0,1 an,0
1,67,39.31,2.0,Mensuel,1
4,34,57.84,0.0,2 ans,0
14,11,115.01,3.0,1 an,1
14,44,62.11,5.0,Mensuel,1
9,33,108.15,4.0,Mensuel,1
8,57,77.86,2.0,1 an,0
20,55,22.48,1.0,1 an,0
12,34,40.73,2.0,1 an,0
20,27,122.47,1.0,1 an,0
24,30,88.46,7.0,Mensuel,1
8,45,116.39,1.0,Mensuel,0
5,46,51.9,4.0,Mensuel,1
23,37,100.42,1.0,Mensuel,1
16,38,103.54,2.0,1 an,0
7,71,,3.0,Mensuel,0
15,19,23.15,0.0,Mensuel,1
13,13,121.24,0.0,Mensuel,0
22,57,64.56,1.0,Mensuel,1
7,67,106.51,3.0,1 an,0
24,44,,0.0,Mensuel,1
23,29,,1.0,Mensuel,1
5,25,56.91,1.0,1 an,0
4,34,104.19,2.0,Mensuel,0
13,4,48.82,2.0,Mensuel,1
2,38,69.53,1.0,1 an,0
8,20,78.33,0.0,2 ans,0
11,19,98.35,1.0,Mensuel,0
24,40,73.88,1.0,1 an,0
24,69,96.83,5.0,2 ans,0
4,15,69.42,0.0,1 an,0
22,65,93.78,,Mensuel,1
3,37,88.17,2.0,1 an,0
18,70,,3.0,Mensuel,0
21,28,111.23,2.0,Mensuel,0
22,71,80.84,,Mensuel,1
6,47,40.18,0.0,Mensuel,1
22,48,,1.0,Mensuel,1
3,40,27.95,2.0,1 an,0
13,33,44.08,1.0,Mensuel,1
12,38,103.96,3.0,Mensuel,1
8,61,65.44,1.0,1 an,0
1,57,69.8,2.0,2 ans,0
19,2,128.03,3.0,Mensuel,1
9,50,,1.0,1 an,0
16,60,23.39,2.0,Mensuel,1
10,53,,2.0,Mensuel,1
9,36,46.0,3.0,Mensuel,1
22,24,101.05,1.0,Mensuel,1
3,48,98.43,,Mensuel,1
18,48,82.21,1.0,Mensuel,1
18,27,48.87,1.0,Mensuel,1
10,29,75.0,2.0,1 an,0
7,27,22.06,1.0,Mensuel,0
1,4,88.18,1.0,Mensuel,0
23,3,89.22,,Mensuel,1
23,6,24.3,3.0,Mensuel,0
6,31,103.91,0.0,Mensuel,1
1,37,96.34,0.0,1 an,0
3,29,51.26,0.0,Mensuel,1
2,68,83.9,2.0,Mensuel,0
20,16,86.77,2.0,2 ans,0
22,28,37.45,2.0,Mensuel,0
4,18,,1.0,Mensuel,1
18,22,94.85,0.0,Mensuel,0
5,42,115.33,3.0,2 ans,0
9,23,80.33,7.0,1 an,1
15,23,81.45,3.0,1 an,0
18,48,90.93,1.0,2 ans,0
21,59,69.63,2.0,Mensuel,1
2,16,25.53,1.0,2 ans,0
5,8,,2.0,Mensuel,1
7,18,112.9,,1 an,0
8,42,103.55,2.0,Mensuel,1
24,69,,6.0,Mensuel,1
19,12,38.04,5.0,2 ans,1
8,4,72.74,,Mensuel,0
24,38,86.32,2.0,2 ans,0
12,71,,1.0,Mensuel,1
13,40,42.19,2.0,1 an,0
11,66,102.47,0.0,2 ans,0
4,46,88.32,1.0,Mensuel,1
23,3,92.82,2.0,2 ans,0
1,31,46.7,0.0,1 an,0
5,55,71.91,,1 an,0
6,37,,0.0,Mensuel,1
7,14,33.86,0.0,1 an,0
4,13,72.76,,1 an,0
1,48,50.97,1.0,1 an,0
17,33,124.68,2.0,Mensuel,0
24,41,,2.0,Mensuel,1
3,27,28.6,2.0,2 ans,0
8,25,22.45,0.0,Mensuel,0
13,48,97.35,3.0,1 an,0
23,1,40.7,1.0,2 ans,0
17,31,41.48,,Mensuel,1
19,27,67.26,0.0,Mensuel,1
14,56,,6.0,1 an,1
11,52,85.21,,Mensuel,0
5,31,69.76,1.0,1 an,0
21,19,33.85,5.0,1 an,0
20,17,106.61,1.0,Mensuel,1
1,15,62.59,2.0,1 an,0
18,20,87.08,2.0,1 an,0
3,55,20.57,2.0,1 an,0
18,4,88.75,3.0,Mensuel,0
20,2,,2.0,Mensuel,1
4,39,70.34,1.0,2 ans,0
11,16,51.94,2.0,1 an,0
3,59,120.67,0.0,1 an,0
14,54,45.52,1.0,Mensuel,1
23,55,,,Mensuel,1
2,33,112.28,0.0,Mensuel,0
10,32,64.53,0.0,Mensuel,1
24,31,55.44,2.0,2 ans,0
8,14,59.87,1.0,Mensuel,0
4,41,120.49,,2 ans,0
12,62,85.8,1.0,Mensuel,0
13,19,,0.0,Mensuel,1
16,5,25.13,0.0,Mensuel,1
8,41,,0.0,Mensuel,1
23,29,31.1,2.0,1 an,0
13,57,25.99,2.0,2 ans,0
7,61,48.72,1.0,2 ans,0
24,68,74.34,,Mensuel,1
23,28,120.01,4.0,1 an,1
12,65,,0.0,Mensuel,0
1,9,39.76,0.0,2 ans,0
15,27,,3.0,Mensuel,1
14,19,103.56,1.0,Mensuel,1
4,66,73.66,3.0,Mensuel,1
16,43,39.89,1.0,Mensuel,0
21,26,64.79,,Mensuel,1
3,11,83.31,0.0,2 ans,0
18,56,125.99,2.0,1 an,0
4,47,87.31,3.0,2 ans,0
18,61,23.22,1.0,Mensuel,0
11,32,94.44,2.0,1 an,0
1,11,,0.0,Mensuel,1
24,24,116.84,4.0,Mensuel,1
4,45,59.15,1.0,Mensuel,1
15,18,42.39,3.0,Mensuel,0
5,6,67.96,3.0,1 an,0
23,59,49.87,1.0,Mensuel,1
18,38,46.8,1.0,Mensuel,1
20,29,83.71,,1 an,0
11,40,100.94,2.0,Mensuel,0
12,53,108.45,4.0,2 ans,0
16,1,,1.0,Mensuel,1
19,32,28.77,1.0,1 an,1
21,19,,2.0,Mensuel,1
1,7,63.38,,1 an,0
16,3,42.29,0.0,1 an,0
3,32,110.57,0.0,2 ans,0
7,39,120.48,1.0,1 an,0
20,37,27.25,2.0,Mensuel,1
7,56,102.17,2.0,Mensuel,0
20,33,91.56,3.0,Mensuel,0
12,42,48.35,4.0,Mensuel,1
6,58,,,Mensuel,0
9,47,34.01,,Mensuel,0
13,65,28.35,0.0,1 an,0
19,16,,2.0,Mensuel,1
15,56,88.73,3.0,1 an,0
23,50,49.66,3.0,1 an,0
21,42,70.66,0.0,1 an,0
19,1,124.01,2.0,Mensuel,1
15,39,,1.0,Mensuel,1
7,61,112.92,1.0,1 an,0
10,46,111.06,0.0,Mensuel,0
3,1,54.89,1.0,1 an,0
9,21,92.72,1.0,Mensuel,1
23,41,94.28,2.0,2 ans,0
11,58,101.34,3.0,Mensuel,0
3,32,57.09,6.0,2 ans,0
16,61,26.87,3.0,1 an,0
24,57,40.81,,Mensuel,0
21,19,,1.0,1 an,0
7,14,100.05,2.0,Mensuel,1
11,65,99.76,0.0,1 an,0
13,42,82.46,0.0,1 an,0
6,61,29.09,1.0,Mensuel,0
7,66,22.3,3.0,Mensuel,0
6,31,100.35,0.0,1 an,0
24,4,,2.0,Mensuel,1
18,65,105.53,2.0,2 ans,0
21,42,39.43,0.0,1 an,0
20,9,65.76,1.0,1 an,0
24,38,123.11,,Mensuel,1
3,2,37.48,0.0,1 an,0
22,21,28.54,1.0,2 ans,0
2,25,85.72,2.0,Mensuel,1
12,33,83.25,2.0,Mensuel,0
15,41,122.22,1.0,Mensuel,1
9,60,,,Mensuel,0
4,25,96.18,1.0,1 an,0
5,53,22.3,1.0,1 an,0
20,67,73.66,,Mensuel,0
8,54,112.95,2.0,Mensuel,1
8,19,65.29,3.0,Mensuel,1
23,49,127.33,1.0,Mensuel,1
4,20,86.36,2.0,2 ans,0
22,34,33.77,1.0,Mensuel,1
23,46,77.71,2.0,Mensuel,0
15,21,95.01,2.0,1 an,0
4,1,,4.0,Mensuel,1
4,60,55.18,1.0,Mensuel,0
7,52,94.1,2.0,Mensuel,0
14,9,37.73,3.0,2 ans,0
4,27,55.55,1.0,1 an,0
11,19,92.86,1.0,1 an,0
3,70,98.4,2.0,Mensuel,0
13,67,75.6,4.0,Mensuel,1
1,50,115.69,2.0,1 an,0
18,32,,0.0,Mensuel,1
2,4,67.64,3.0,2 ans,0
5,18,36.65,1.0,1 an,0
5,7,98.99,1.0,1 an,0
20,57,47.97,0.0,1 an,0
2,7,104.74,0.0,2 ans,0
11,49,,1.0,Mensuel,0
15,68,63.03,2.0,1 an,0
13,22,79.58,3.0,2 ans,0
17,49,,1.0,Mensuel,0
20,63,121.76,3.0,2 ans,0
10,31,43.06,2.0,Mensuel,0
20,32,122.14,,1 an,0
8,15,23.84,1.0,1 an,0
24,31,106.61,2.0,Mensuel,0
13,63,117.81,0.0,Mensuel,1
18,48,63.8,4.0,1 an,0
22,15,29.8,2.0,Mensuel,1
20,38,108.77,0.0,Mensuel,1
21,51,113.35,4.0,Mensuel,1
13,6,56.42,1.0,1 an,0
2,55,72.17,1.0,1 an,0
12,15,,4.0,Mensuel,1
5,21,39.89,2.0,2 ans,1
22,30,90.47,2.0,Mensuel,0
6,36,64.43,5.0,1 an,1
6,66,38.26,1.0,Mensuel,0
6,16,,2.0,Mensuel,0
16,19,55.89,2.0,1 an,0
14,27,119.85,3.0,Mensuel,1
23,61,84.25,0.0,Mensuel,1
10,69,74.25,3.0,2 ans,0
7,33,63.96,0.0,2 ans,0
2,50,60.33,1.0,1 an,0
1,66,101.8,0.0,2 ans,0
9,61,90.8,0.0,2 ans,0
23,49,106.68,2.0,Mensuel,0
13,39,65.35,2.0,1 an,0
22,70,,3.0,Mensuel,0
3,17,28.94,1.0,Mensuel,0
3,26,98.51,1.0,Mensuel,1
21,51,66.88,1.0,Mensuel,0
3,2,71.54,0.0,1 an,0
2,36,67.23,0.0,2 ans,0
10,61,65.58,,1 an,0
23,13,96.84,3.0,Mensuel,1
17,58,86.5,2.0,Mensuel,0
3,30,118.22,0.0,1 an,0
21,62,,4.0,Mensuel,1
21,46,84.08,2.0,2 ans,0
20,12,28.5,1.0,2 ans,0
22,53,109.99,1.0,2 ans,0
6,4,83.41,3.0,2 ans,0
24,18,,1.0,2 ans,0
8,64,103.27,1.0,1 an,0
20,63,70.91,2.0,Mensuel,1
14,4,45.2,3.0,Mensuel,1
19,27,72.51,,Mensuel,0
16,7,28.85,3.0,Mensuel,1
16,20,116.95,2.0,Mensuel,0
15,69,98.76,0.0,2 ans,0
19,14,103.55,1.0,Mensuel,1
18,46,115.39,2.0,2 ans,0
4,58,100.45,2.0,1 an,0
20,63,68.4,6.0,1 an,0
13,26,33.53,,1 an,0
8,50,59.08,1.0,Mensuel,0
13,35,119.33,0.0,1 an,0
24,8,126.4,3.0,Mensuel,1
21,16,,0.0,2 ans,0
21,54,43.96,0.0,Mensuel,0
12,49,41.33,1.0,Mensuel,1
19,37,116.43,2.0,1 an,0
10,56,35.53,2.0,1 an,0
17,50,,0.0,Mensuel,1
16,25,61.6,3.0,1 an,0
6,21,,4.0,Mensuel,1
7,68,90.03,2.0,1 an,0
2,70,,1.0,Mensuel,0
4,3,,1.0,Mensuel,1
11,57,71.6,0.0,Mensuel,0
12,10,67.14,0.0,Mensuel,0
4,62,,0.0,Mensuel,1
11,42,81.19,,Mensuel,1
15,49,73.9,0.0,Mensuel,0
6,50,90.2,1.0,Mensuel,1
9,43,45.24,2.0,1 an,0
9,18,27.29,1.0,Mensuel,1
13,58,111.02,1.0,1 an,0
9,40,83.53,2.0,2 ans,0
18,39,39.18,3.0,Mensuel,1
8,23,51.32,,2 ans,0
11,1,,,Mensuel,1
10,40,86.71,2.0,Mensuel,0
5,25,85.07,2.0,1 an,0
17,47,29.11,2.0,1 an,0
6,26,119.44,1.0,2 ans,0
8,70,112.6,3.0,Mensuel,0
20,49,80.96,2.0,1 an,0
23,33,55.81,,Mensuel,1
17,51,,2.0,Mensuel,0
22,47,112.77,2.0,Mensuel,0
21,45,,3.0,2 ans,0
12,42,123.33,2.0,Mensuel,0
19,67,90.23,2.0,1 an,0
8,23,53.71,2.0,1 an,0
12,31,73.13,0.0,1 an,0
13,18,106.93,3.0,1 an,0
24,41,51.19,0.0,1 an,0
21,71,46.89,,Mensuel,1
12,44,,1.0,Mensuel,0
16,15,68.65,2.0,1 an,0
5,66,103.42,1.0,Mensuel,1
20,57,,1.0,Mensuel,0
14,32,56.6,0.0,Mensuel,1
13,11,49.25,,Mensuel,1
19,29,96.81,2.0,Mensuel,1
16,58,,2.0,Mensuel,1
2,41,65.89,3.0,2 ans,0
7,14,69.57,,Mensuel,0
5,12,33.78,2.0,2 ans,0
18,69,96.85,6.0,2 ans,0
1,32,119.23,3.0,Mensuel,0
5,49,99.49,,1 an,0
15,26,44.89,3.0,1 an,0
17,7,88.04,2.0,1 an,0
13,30,52.08,2.0,Mensuel,1
21,50,25.02,,Mensuel,1
23,24,41.62,1.0,Mensuel,0
4,43,,2.0,1 an,0
23,32,,2.0,2 ans,0
15,24,105.62,3.0,1 an,0
16,19,52.5,3.0,1 an,0
3,19,96.54,1.0,2 ans,0
15,19,121.88,2.0,1 an,0
18,52,83.15,0.0,Mensuel,1
14,24,,2.0,2 ans,0
3,53,95.84,0.0,Mensuel,0
13,23,,,Mensuel,0
23,24,68.83,3.0,Mensuel,1
18,66,75.05,3.0,2 ans,0
4,63,,1.0,Mensuel,0
24,29,111.56,2.0,Mensuel,1
24,20,,1.0,Mensuel,1
5,51,,2.0,Mensuel,0
20,5,79.09,5.0,Mensuel,1
10,33,106.81,3.0,1 an,0
15,43,113.86,2.0,2 ans,0
11,48,71.01,3.0,Mensuel,1
19,8,127.85,2.0,Mensuel,0
24,1,,3.0,Mensuel,1
20,20,76.92,,Mensuel,0
23,9,29.5,4.0,Mensuel,1
23,37,46.51,2.0,1 an,0
3,66,98.49,1.0,1 an,0
7,21,31.93,2.0,Mensuel,1
18,33,71.93,1.0,Mensuel,1
15,16,85.38,0.0,Mensuel,0
2,4,108.3,2.0,Mensuel,1
3,50,105.62,0.0,2 ans,0
13,19,,2.0,1 an,0
15,39,64.47,2.0,2 ans,0
5,49,34.82,3.0,2 ans,0
5,60,88.48,0.0,1 an,0
4,14,38.63,2.0,2 ans,0
14,42,,1.0,Mensuel,1
1,65,118.07,3.0,Mensuel,0
14,35,79.27,2.0,Mensuel,1
12,3,88.6,,Mensuel,1
12,19,,1.0,Mensuel,1
17,57,110.21,1.0,Mensuel,1
13,57,66.81,1.0,1 an,0
18,23,74.91,1.0,1 an,1
19,14,,2.0,Mensuel,1
23,21,89.26,,Mensuel,1
20,18,,1.0,1 an,0
13,53,74.45,1.0,Mensuel,1
12,60,101.28,5.0,Mensuel,1
6,4,22.23,,Mensuel,0
15,53,81.04,2.0,Mensuel,0
4,54,37.83,0.0,Mensuel,1
23,44,52.52,3.0,1 an,0
21,62,25.51,2.0,1 an,0
3,3,37.27,2.0,1 an,0
19,50,127.95,,Mensuel,0
3,10,120.89,0.0,2 ans,0
18,64,98.78,0.0,1 an,0
3,36,,0.0,Mensuel,1
12,7,102.37,6.0,1 an,1
16,53,116.81,0.0,Mensuel,1
18,54,,0.0,Mensuel,1
11,33,24.55,1.0,Mensuel,1
23,23,99.64,2.0,Mensuel,0
19,2,127.73,4.0,Mensuel,1
5,65,,2.0,Mensuel,0
17,14,70.96,5.0,Mensuel,1
18,60,60.28,1.0,2 ans,0
9,42,61.1,4.0,Mensuel,1
18,49,98.95,0.0,Mensuel,0
22,50,63.12,,Mensuel,1
20,61,,4.0,2 ans,1
19,3,106.71,2.0,Mensuel,0
16,71,24.25,0.0,2 ans,0
7,4,104.51,,Mensuel,1
20,71,105.32,1.0,Mensuel,1
9,19,74.14,0.0,1 an,0
13,61,,4.0,Mensuel,1
8,6,106.7,0.0,2 ans,0
8,33,64.38,0.0,2 ans,0
4,39,36.42,2.0,1 an,0
24,68,56.42,3.0,2 ans,0
4,9,47.13,1.0,1 an,0
3,3,,1.0,Mensuel,0
